ticker,name,sector,industry,price,week_52_low,week_52_high,market_cap,ebitda,eps,pe_ratio,price_to_sales,book_value_per_share,dividend_yield,sec_filings,revenue_ttm,debt_to_equity,levered_fcf,roa
LUV,Southwest Airlines,Industrials,Passenger Airlines,30.71,23.58,36.12,18417924096,1682000000,0.76,40.4078947368421,0.6727763,17.358999253410413,0.0227,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV,,,,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,45.83,36.62,56.61,33227941888,3863000064,1.96,23.382653061224488,2.9361086,4.725999773754233,0.0184,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LVS,,,,
LYB,LyondellBasell,Materials,Specialty Chemicals,75.7,72.21,107.02,24584103936,4421000192,6.59,11.487101669195752,0.6035279,42.23600183405793,0.0704,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB,,,,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,144.68,86.67,145.33,33363062784,1534734976,0.89,162.56179775280899,1.4309411,1.2560001395941545,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYV,,,,
MA,Mastercard,Financials,Transaction & Payment Processing Services,555.43,428.86,565.54,517369167872,16784000000,13.61,40.8104335047759,19.002762,8.087000593897978,0.0055,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA,,,,
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,152.58,121.51,167.39,18302885888,1247618048,4.43,34.44243792325057,8.38263,50.894998794170796,0.0399,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAA,,,,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",290.59,204.55,295.45,80752926720,4112999936,9.54,30.460167714884697,12.291162,,0.0086,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAR,,,,
MAS,Masco,Industrials,Building Products,79.28,63.81,86.7,17104579584,1494000000,3.76,21.085106382978726,2.1700811,,0.0143,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS,,,,
MCD,McDonald's,Consumer Discretionary,Restaurants,288.7,243.53,317.9,208049078272,13845499904,11.32,25.503533568904594,8.020798,,0.024400001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD,,,,
MCHP,Microchip Technology,Information Technology,Semiconductors,54.3,53.98,100.57,29159641088,1950800000,1.44,37.708333333333336,5.3050323,11.687000181654293,0.033,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP,,,,
MCK,McKesson Corporation,Health Care,Health Care Distributors,594.75,464.42,637.51,75497562112,4889999872,19.35,30.736434108527128,0.22865091,,0.0047,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK,,,,
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,499.44,360.05,505.775,90514014208,3313999872,10.93,45.69441903019213,13.125582,21.54700079761523,0.0068,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO,,,,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,57.99,55.97,77.2,77543653376,7414000128,2.82,20.563829787234045,2.1449933,20.829998761478947,0.0322,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ,,,,
MDT,Medtronic,Health Care,Health Care Equipment,90.82,75.96,93.08,116457578496,9013000192,3.27,27.773700305810394,3.5748405,38.29200134397251,0.032,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT,,,,
MET,MetLife,Financials,Life & Health Insurance,86.51,64.61,89.05,59901251584,7036000256,4.93,17.54766734279919,0.83961165,44.52500222213267,0.0251,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET,,,,
META,Meta Platforms,Communication Services,Interactive Media & Services,689.18,414.5,705.2999,1740620562432,79208996864,23.91,28.823923044751147,11.141612,65.18600043669834,0.003,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=META,,,,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,34.48,31.61,48.25,10266075136,2556987904,2.79,12.358422939068099,0.5961143,10.885999777102207,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGM,,,,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,77.23,64.33,85.49,20692699136,1270200064,2.92,26.448630136986303,3.0984054,20.20299788107882,0.024600001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MKC,,,,
MLM,Martin Marietta Materials,Materials,Construction Materials,544.12,490.05,633.23,33255579648,1945500032,32.23,16.882407694694386,5.105874,150.02100382281705,0.0058,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MLM,,,,
MMM,3M,Industrials,Industrial Conglomerates,152.2,75.652176,155.0,83294183424,8117000192,7.15,21.286713286713283,2.5520616,8.523999960348277,0.0199,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,,,,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,48.71,43.32,61.23,47371448320,2105284992,1.56,31.224358974358974,6.3922386,5.942999787401414,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST,,,,
MO,Altria,Consumer Staples,Tobacco,52.23,39.25,58.04,88302649344,12216000512,6.63,7.877828054298642,4.3366394,,0.0775,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO,,,,
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,27.89,23.56,33.44,8859118592,1908199936,1.13,24.681415929203542,0.7732899,37.148997583117385,0.0308,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS,,,,
